gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,1,1,0,-1.239415939,1,0,0.5,0,0,1,0,1,1,0,1,3,1.020468605,-0.927155899,0
1,0,1,1,-0.220889336,1,0,0,1,1,1,1,0,0,1,0,1,0.044930964,-0.180366864,0
0,0,0,0,-1.280157004,1,0,1,0,0,0,0,0,0,0,0,2,-1.482358802,-0.998380551,0
0,1,0,0,-1.280157004,1,0,0,0,0,0,0,0,0,0,0,2,-0.649744903,-0.987329591,0
1,0,1,1,1.61245855,1,1,0.5,1,1,0,1,1,0,2,0,2,1.166716156,2.191839743,0
0,0,0,0,-1.117192747,1,0,0.5,0,0,0,0,0,0,0,1,0,0.162926147,-0.867489538,1
1,0,0,0,0.553190882,1,0,0.5,0,0,1,0,0,0,0,1,3,0.332440354,0.558062264,0
0,0,0,0,0.064298113,1,1,0.5,0,1,1,0,1,1,0,1,0,1.381101771,0.558481363,1
1,0,0,0,-0.872746362,1,1,0.5,0,0,1,0,1,1,0,1,2,1.098578093,-0.519637958,1
0,0,1,1,-0.913487426,1,0,0,0,1,0,0,0,0,1,0,1,-0.50682116,-0.79743395,0
1,0,1,1,1.530976422,1,1,0,1,1,0,0,1,0,2,1,3,0.146307107,1.142174991,0
1,0,1,1,-0.628299977,1,0,1,0,0,0,0,0,0,1,0,1,-1.464077858,-0.822778368,0
1,0,0,0,1.245788973,1,1,0,1,1,1,1,1,0,2,1,3,0.500292657,1.137366389,0
1,0,1,0,-0.791264234,1,1,0,1,1,0,1,1,0,0,1,0,0.378973666,-0.574319255,0
1,0,0,0,0.675414075,1,1,0.5,0,0,0,0,0,1,0,1,0,0.654849728,0.716172609,0
0,0,0,0,-1.239415939,1,0,0,0,1,0,0,0,0,0,0,1,-0.516792584,-0.964499763,0
1,0,0,0,-1.239415939,1,0,0.5,0,0,0,0,1,0,0,1,0,0.526883121,-0.943699253,1
0,0,0,0,0.797637267,1,1,0,1,0,0,1,1,1,2,1,3,0.496968849,0.853416269,0
1,0,1,1,1.490235358,1,1,0,1,0,1,1,0,0,2,1,3,-0.021545196,0.869430236,0
1,1,0,0,0.43096769,1,1,0.5,0,1,0,0,1,0,0,1,0,0.845968687,0.686196052,0
1,0,0,0,-0.709782106,1,0,0.5,1,1,0,0,1,1,0,1,3,1.140125692,-0.378026851,1
1,1,1,0,-0.302371464,1,1,0,1,0,0,1,1,0,0,1,3,0.156278531,-0.234099676,0
1,1,1,0,-0.994969555,1,1,0.5,0,1,0,0,0,0,0,1,3,0.526883121,-0.72790775,1
1,1,1,1,1.12356578,1,0,0,1,1,1,1,0,1,1,1,3,0.334102258,0.958654056,0
0,1,0,0,-0.587558913,1,1,0.5,0,0,0,0,1,1,0,1,0,1.018806701,-0.234143791,1
1,0,1,1,1.245788973,1,1,0.5,1,0,0,0,1,1,1,1,3,1.158406636,1.776932437,0
0,1,1,1,1.368012165,1,1,0.5,0,1,1,1,1,1,1,1,0,1.450901738,2.114483022,0
1,0,1,1,0.064298113,1,1,1,0,0,0,0,0,0,2,0,3,-1.324477923,-0.612766009,0
1,0,0,0,1.61245855,1,1,0.5,0,0,1,1,1,1,2,1,3,1.419325563,2.457415712,0
1,0,1,0,0.593931947,1,1,0.5,0,0,1,0,1,1,0,1,0,1.186659004,1.069273946,0
0,0,0,0,1.12356578,1,1,0.5,0,1,0,0,1,0,0,1,2,0.834335359,1.397317618,0
0,0,1,0,1.61245855,0,0,0,1,1,1,0,0,0,2,0,2,-0.754444855,0.299412447,0
1,0,1,1,-0.587558913,1,0,0,0,0,1,1,0,0,1,1,3,-0.345616473,-0.585061406,0
1,0,0,0,-0.95422849,1,1,0.5,0,0,0,0,1,1,0,0,0,0.983906718,-0.629110842,1
1,0,0,0,-1.198674875,1,0,0,0,1,0,1,1,1,0,1,0,0.349059394,-0.899605701,0
0,0,1,0,0.593931947,1,1,0.5,0,1,0,0,0,0,1,1,0,0.468716481,0.603082244,0
1,0,0,0,-0.05792508,1,0,0,0,1,1,1,1,1,2,0,1,0.478687905,0.094363094,0
1,0,1,1,0.716155139,1,0,1,0,0,0,0,0,0,2,0,2,-1.484020706,-0.596619696,0
0,0,0,0,-0.913487426,1,0,0.5,1,0,1,0,0,0,0,1,1,0.500292657,-0.615832044,0
0,0,0,0,-1.280157004,1,0,0,0,0,0,1,0,0,0,0,1,-0.5234402,-0.985653198,0
1,0,1,1,0.797637267,1,0,1,0,0,0,0,0,0,1,1,0,-1.475711186,-0.52614501,0
0,1,1,1,1.286530037,1,1,0.5,1,0,1,1,1,1,2,1,2,1.55560169,2.124475207,0
0,0,1,1,1.205047909,1,1,1,0,0,0,0,0,0,2,1,2,-1.347744579,-0.378820932,0
1,0,0,1,-1.198674875,1,0,0,1,0,0,1,0,1,0,1,2,-0.009911868,-0.929030813,0
1,1,0,0,0.960601524,1,1,0.5,1,1,1,0,1,1,1,0,0,1.519039802,1.701185935,0
1,0,0,0,0.553190882,1,0,0,0,0,0,0,0,1,1,0,3,-0.304068874,0.178910659,0
1,0,1,1,-0.994969555,1,0,0,1,1,0,0,0,0,0,0,1,-0.337306953,-0.794544378,0
0,1,0,0,-0.098666144,1,0,0,1,1,0,0,1,1,0,1,0,0.33077845,-0.075879043,0
1,0,1,1,0.512449818,1,1,1,0,0,0,0,0,0,1,1,3,-1.292901747,-0.4705814,0
1,0,0,1,-1.280157004,1,0,0.5,0,0,0,0,1,0,0,1,0,0.483673617,-0.972286168,1
1,0,1,1,-0.872746362,0,0,0,1,0,0,0,1,1,0,0,0,-0.47358308,-0.757884306,0
1,0,1,0,-1.035710619,1,0,0.5,0,0,1,0,0,0,0,1,2,0.344073682,-0.788081441,1
1,0,0,0,0.390226626,1,0,0.5,0,1,1,1,1,1,0,1,2,1.296344667,0.901811093,0
1,0,1,0,0.675414075,1,0,1,0,0,0,0,0,0,2,1,2,-1.484020706,-0.57789262,0
0,0,0,0,-0.95422849,1,1,0.5,0,1,0,0,1,1,0,1,3,1.146773308,-0.601979743,0
1,0,1,0,0.105039177,1,0,0,1,0,0,0,1,0,1,1,2,-0.088021355,-0.029932635,0
1,0,1,1,0.634673011,1,0,1,0,0,0,0,0,0,2,0,2,-1.467401666,-0.540989913,0
1,0,1,1,0.553190882,1,0,1,0,0,0,0,0,0,2,1,1,-1.490668322,-0.598296089,0
0,0,1,0,-0.139407208,0,0,0,0,0,0,0,1,0,0,0,1,-1.031982821,-0.562055116,0
0,0,1,1,-0.098666144,1,0,0.5,0,1,1,0,0,0,0,0,2,0.573416432,0.126567489,0
0,1,0,0,-1.280157004,1,0,0.5,0,0,0,1,0,0,0,0,0,0.329116546,-0.974337544,0
0,0,1,1,1.368012165,1,1,0,1,0,1,1,1,1,2,1,1,0.638230688,1.513584306,0
1,0,0,0,1.327271101,1,1,0.5,1,1,1,0,1,1,0,1,3,1.537320746,2.128004456,0
0,0,0,0,1.61245855,1,1,0.5,0,1,1,0,1,1,2,1,2,1.199954236,2.283313459,0
1,0,0,0,-0.832005298,1,1,0.5,1,0,0,0,0,0,0,1,0,0.470378385,-0.5981858,1
0,0,1,1,1.571717486,1,1,0,1,1,0,1,0,0,1,1,3,0.06819762,1.08762604,0
0,0,0,0,-1.117192747,1,0,1,0,0,0,0,0,0,0,0,1,-1.454106434,-0.957066283,1
0,0,0,0,0.797637267,1,0,1,0,0,0,0,0,0,2,0,2,-1.455768338,-0.518843877,0
1,1,1,0,-0.302371464,1,0,0.5,0,1,1,0,1,1,0,1,0,1.120182845,0.101995094,1
0,0,0,0,-1.280157004,1,0,1,0,0,0,0,0,0,0,0,1,-1.482358802,-0.998380551,0
1,0,1,1,-1.280157004,1,0,1,0,0,0,0,0,0,0,0,0,-1.507287361,-0.998711418,0
0,0,0,0,0.227262369,1,1,0.5,0,0,1,1,1,0,1,0,2,1.003849565,0.583340509,0
1,1,1,0,1.368012165,0,0,0,0,1,1,0,1,0,1,0,2,-0.639773479,0.328197882,0
0,0,1,0,1.449494293,1,1,0.5,0,1,1,1,1,1,2,1,2,1.502420762,2.35072211,1
0,0,0,0,-1.117192747,0,0,0,0,0,0,0,0,0,0,0,1,-1.346082675,-0.963088063,0
1,0,1,1,1.61245855,1,1,0.5,1,1,0,0,1,1,1,1,0,1.307977995,2.214493108,0
1,0,0,0,-0.017184015,0,0,0,1,0,0,0,0,0,1,0,1,-1.151639908,-0.598053453,0
0,0,0,0,0.43096769,1,1,0.5,0,0,0,0,1,1,1,0,1,0.982244814,0.722613487,0
0,0,1,1,1.61245855,1,0,1,0,0,0,0,0,0,2,0,3,-1.508949265,-0.405885859,0
0,0,1,0,0.91986046,1,1,0.5,1,1,0,0,1,0,0,1,0,1.062016205,1.303880757,1
1,0,0,0,0.797637267,1,0,0,1,0,1,1,0,0,1,0,3,-0.22762129,0.334815223,0
1,0,0,0,0.43096769,1,0,0.5,0,1,1,0,1,0,0,1,0,0.892501998,0.737083407,0
1,1,1,0,0.186521305,1,1,0.5,0,0,0,0,0,0,0,1,0,0.38894509,0.258009947,1
1,0,1,1,1.286530037,0,0,0,0,1,0,1,1,1,2,1,0,-0.338968857,0.503005984,0
0,0,1,1,-1.198674875,1,0,0.5,1,1,0,0,1,0,0,0,0,0.832673455,-0.89770873,0
1,0,0,0,0.145780241,0,0,0,1,0,0,0,0,0,2,0,2,-1.121725636,-0.510395737,0
1,0,1,1,-0.913487426,1,1,0.5,1,0,0,0,1,1,0,1,0,1.178349484,-0.537615068,1
1,0,0,0,0.349485562,1,0,1,0,0,0,0,0,0,2,0,1,-1.467401666,-0.638860392,0
0,0,1,1,-0.220889336,1,1,0.5,0,1,0,1,0,0,0,1,3,0.678116384,-0.058100452,0
1,0,1,1,0.960601524,1,1,0.5,0,0,1,0,1,1,1,1,3,1.163392348,1.425882475,0
1,0,0,0,-1.076451683,1,0,1,0,0,0,0,0,0,0,0,1,-1.465739762,-0.957551554,0
0,0,0,0,-1.198674875,1,1,0.5,0,0,0,0,0,0,0,1,0,0.319145122,-0.906024523,1
1,0,1,1,-1.035710619,1,0,0,1,0,0,0,0,0,0,0,1,-0.468597369,-0.852732866,0
1,0,1,1,-1.157933811,1,0,1,0,0,0,0,0,0,0,0,1,-1.46075405,-0.979543186,0
0,0,0,0,0.023557049,1,0,0.5,1,0,0,1,1,0,2,1,0,0.802759183,0.328374344,0
1,1,0,0,-0.220889336,1,1,0.5,0,0,1,0,0,0,0,1,0,0.440464113,-0.065203065,1
0,0,1,0,1.61245855,1,1,1,0,0,0,0,0,0,2,1,2,-1.371011234,-0.246760856,0
0,0,0,0,-1.280157004,1,0,1,0,0,0,0,0,0,0,0,1,-1.497315937,-0.998579071,0
0,1,0,0,1.571717486,0,0,0,1,1,0,0,1,1,1,1,0,-0.27747841,0.750869535,0
1,0,0,0,-0.791264234,1,1,0.5,0,0,0,0,0,1,0,1,0,0.703044943,-0.471000498,0
1,0,1,1,-0.302371464,0,0,0,1,1,1,0,1,1,0,1,3,-0.206016538,-0.344388699,1
0,0,0,0,1.408753229,1,0,0,0,0,0,1,0,0,2,0,2,-0.47358308,0.430921078,0
0,0,0,0,-1.280157004,0,0,0,0,0,0,0,0,1,0,1,0,-0.975478085,-0.99165292,1
0,0,0,0,-1.239415939,1,0,0,0,0,0,0,0,0,0,0,0,-0.679659175,-0.971447971,1
1,0,0,0,0.43096769,1,1,1,0,0,0,0,0,0,2,1,3,-1.299549363,-0.483110233,0
1,0,0,0,-0.383853593,1,0,0.5,1,0,0,0,0,0,0,1,2,0.33908797,-0.222695791,0
1,0,1,1,1.286530037,1,0,1,0,0,0,0,0,0,2,0,1,-1.482358802,-0.443604705,0
0,0,0,1,1.001342588,1,0,1,0,0,0,0,0,0,2,1,1,-1.502301649,-0.490896638,0
1,1,1,0,-1.280157004,1,0,0.5,0,0,0,0,0,0,0,1,1,0.187854707,-0.976212457,1
1,1,1,1,1.61245855,1,1,0,1,1,1,1,1,1,2,1,3,0.772844911,1.827422752,0
1,0,0,0,-0.994969555,1,1,0,1,0,0,1,0,1,0,0,0,0.211121363,-0.758634272,1
1,0,1,0,1.164306844,1,1,0.5,0,1,0,0,1,1,2,1,2,1.204939948,1.626961422,0
0,0,0,0,1.286530037,1,1,0.5,1,1,0,0,0,0,1,1,3,0.648202112,1.326004735,0
0,1,1,0,1.571717486,1,1,1,0,0,0,0,0,0,2,0,2,-1.357716002,-0.232533572,0
1,0,1,1,1.327271101,1,1,0.5,1,1,0,1,1,0,2,1,3,1.138463789,1.823474404,0
0,0,0,0,-1.198674875,1,0,1,0,0,0,0,0,0,1,0,1,-1.502301649,-0.980226978,0
0,0,0,0,-1.280157004,1,0,0,0,0,0,0,0,0,0,1,0,-0.636449671,-0.987153128,1
0,0,0,1,-0.098666144,1,0,0,0,1,1,0,1,0,1,0,3,-0.009911868,-0.1558827,0
0,0,1,1,-0.709782106,1,0,0,0,1,1,1,0,1,0,1,1,0.156278531,-0.534637265,0
1,0,1,1,-0.994969555,1,0,0,0,0,0,1,1,1,0,1,0,0.124702355,-0.758325462,0
0,0,0,0,-1.035710619,1,1,0.5,0,0,0,0,1,1,0,0,1,1.003849565,-0.718114084,1
1,0,1,1,1.530976422,1,1,0.5,1,1,1,0,1,1,1,1,3,1.440930314,2.491318557,0
0,0,1,1,1.205047909,1,0,0,1,1,1,1,1,1,2,0,0,0.708030655,1.293447415,0
1,0,1,1,-1.076451683,1,0,1,0,0,0,0,0,0,0,0,1,-1.498977841,-0.957220687,0
1,0,1,1,-0.75052317,1,0,0.5,0,0,0,0,0,1,0,1,2,0.535192641,-0.498727159,0
1,0,0,0,-0.424594657,1,1,0.5,0,0,0,0,1,0,0,1,2,0.6432164,-0.203527558,0
0,0,1,1,-0.424594657,1,0,1,0,0,0,0,0,0,1,0,1,-1.484020706,-0.82205046,0
0,0,1,1,-0.669041042,1,0,0,1,0,1,0,1,0,2,0,1,-0.018221388,-0.555548064,0
0,0,0,0,-0.913487426,1,1,1,0,0,0,0,0,0,2,0,2,-1.299549363,-0.896297031,0
1,0,0,1,-0.791264234,1,0,0,1,1,0,0,0,0,0,1,0,-0.292435546,-0.670006012,0
1,0,1,0,-0.506076785,1,1,0.5,1,0,0,0,0,0,0,0,0,0.58504976,-0.304816998,1
1,0,0,0,-1.239415939,1,0,0.5,0,0,0,0,0,0,0,1,0,0.162926147,-0.9476476,0
0,0,0,0,0.838378331,1,1,0,0,1,1,1,0,1,2,1,2,0.302526082,0.738914205,0
1,0,1,1,-0.872746362,1,0,1,0,0,0,0,0,0,1,0,1,-1.46906357,-0.904105494,0
0,0,1,0,1.490235358,1,0,1,0,0,0,0,0,0,2,0,1,-1.492330226,-0.405797628,0
1,0,0,0,-1.157933811,1,0,0.5,0,0,0,0,0,0,0,1,2,0.202811843,-0.88685629,1
0,0,1,0,1.61245855,1,1,0,1,1,1,1,1,1,2,1,2,0.806082991,1.751896828,0
0,1,1,0,1.042083652,0,0,0,0,1,1,0,0,1,0,1,0,-0.648082999,0.162301133,1
1,0,1,1,-0.669041042,1,0,1,0,0,0,0,0,0,0,0,0,-1.475711186,-0.865504335,0
0,0,1,0,0.43096769,1,0,0.5,1,0,1,1,0,0,1,1,2,0.646540208,0.554069802,0
1,0,1,0,-1.239415939,1,1,0.5,0,0,1,1,1,1,0,1,0,1.316287515,-0.900179204,1
0,0,1,0,-0.75052317,1,0,0,0,1,1,1,1,1,2,0,1,0.570092624,-0.48595569,0
1,0,1,0,0.838378331,1,0,0.5,0,0,1,0,1,1,1,1,2,0.998863853,1.198576797,1
1,0,0,0,-0.017184015,1,0,1,0,0,0,0,0,0,1,0,2,-1.470725474,-0.718533183,0
1,0,1,0,0.064298113,1,1,1,0,0,0,0,0,0,0,0,0,-1.332787443,-0.663101919,0
1,1,0,0,-0.709782106,1,1,0.5,0,0,0,0,0,0,0,1,1,0.320807026,-0.501859367,1
1,1,0,0,-1.035710619,1,0,0.5,1,0,0,0,0,0,0,0,2,0.387283186,-0.785125695,1
1,0,1,1,-0.709782106,1,1,0.5,0,1,1,0,1,1,0,1,2,1.347863691,-0.319419264,0
0,0,1,0,1.164306844,1,0,1,0,0,0,0,0,0,1,1,3,-1.470725474,-0.454964474,0
1,0,0,0,-1.280157004,0,0,0,0,1,0,0,0,0,0,0,2,-1.158287524,-0.994079279,1
1,0,0,0,-1.280157004,1,0,0,0,0,0,0,0,0,0,0,1,-0.648082999,-0.987307533,0
0,0,0,0,-0.994969555,1,1,0.5,0,0,0,0,0,1,0,0,2,0.654849728,-0.714959818,1
0,0,1,1,0.023557049,1,0,0,1,0,1,0,1,1,1,0,3,0.33077845,0.074996341,0
1,0,0,0,-0.791264234,1,0,0.5,0,1,1,0,0,0,0,1,0,0.480349809,-0.516880732,1
1,0,1,0,-1.280157004,0,0,0,0,0,0,0,0,0,0,1,0,-1.329463635,-0.996351233,1
0,0,0,0,-0.506076785,1,0,0,0,1,0,0,0,0,0,1,1,-0.432035481,-0.555614237,0
0,0,0,0,-1.198674875,0,0,0,0,0,0,1,0,0,0,0,0,-1.143330388,-0.971050931,0
1,0,0,0,-0.791264234,1,0,1,0,0,0,0,0,0,1,0,0,-1.500639745,-0.899296892,0
1,0,1,0,0.308744498,1,1,0,0,1,0,0,0,0,0,0,3,-0.272492698,0.042262559,0
0,0,1,1,0.43096769,1,1,0,1,0,0,1,0,1,1,1,3,0.236049923,0.392650787,0
0,0,1,0,-1.076451683,1,0,0.5,0,1,1,0,0,1,0,1,0,0.870897246,-0.773038018,1
1,0,1,1,1.490235358,1,0,1,0,0,0,0,0,0,2,0,2,-1.497315937,-0.400525812,0
1,0,1,1,1.61245855,1,1,0.5,1,1,1,0,1,1,2,0,3,1.492449338,2.578998331,0
0,0,1,1,1.082824716,1,0,1,0,0,0,0,0,0,2,0,3,-1.512273073,-0.481125031,0
1,0,1,0,-0.506076785,1,0,0.5,1,1,0,1,1,0,0,1,0,1.055368589,-0.168367418,0
0,0,1,1,-0.343112528,1,1,1,0,0,0,0,0,0,2,1,2,-1.35273029,-0.748156814,0
0,0,0,0,1.082824716,1,1,0.5,0,1,1,1,1,1,0,1,0,1.54729217,1.86893554,0
0,0,1,1,1.61245855,1,1,0.5,0,1,1,1,1,1,2,1,2,1.577206442,2.540330999,0
0,0,0,1,-1.280157004,1,0,1,0,0,0,0,0,0,0,0,1,-1.464077858,-0.998137915,0
1,0,1,0,-0.220889336,1,0,0.5,1,0,0,1,1,1,1,1,3,1.233192316,0.175513758,0
1,0,0,0,-0.75052317,1,0,0.5,0,1,0,1,0,0,0,1,3,0.506940273,-0.516593981,0
0,0,1,1,1.571717486,1,1,0.5,1,0,1,0,1,1,2,0,0,1.354511307,2.25968955,0
0,0,0,1,-0.791264234,1,0,0.5,0,0,0,0,1,0,0,1,3,0.448773633,-0.551158561,0
0,0,0,0,0.471708754,1,0,0.5,0,0,0,0,0,0,0,0,3,0.134673779,0.29806692,0
1,0,0,0,0.023557049,1,0,0.5,0,1,0,1,0,0,1,1,2,0.503616465,0.177146035,0
0,0,1,1,1.61245855,0,0,0,1,1,1,1,0,1,2,1,3,-0.31071649,0.836387644,0
0,0,0,0,-1.280157004,1,0,0.5,0,0,0,0,0,1,0,0,0,0.501954561,-0.972043532,1
1,0,0,0,-0.546817849,1,0,0.5,1,0,1,1,1,1,0,1,0,1.389411291,-0.153897498,1
0,0,1,0,1.286530037,1,0,0.5,0,1,1,1,1,1,1,1,3,1.25147326,1.928204861,0
0,0,0,0,-1.239415939,1,0,0,0,0,0,0,0,0,0,1,3,-0.624816343,-0.970014214,1
1,0,0,0,-1.280157004,0,0,0,0,0,0,0,0,0,0,0,0,-1.314506499,-0.996152713,0
0,0,0,1,1.164306844,1,0,1,0,0,0,0,0,0,2,0,1,-1.497315937,-0.511344223,0
1,0,1,1,-0.139407208,1,0,1,0,0,0,0,0,0,1,0,0,-1.489006418,-0.769045555,0
0,1,1,0,-0.383853593,1,1,0.5,0,0,0,0,0,1,0,0,0,0.731297311,-0.135633636,0
1,0,1,0,1.001342588,0,0,0,1,1,1,0,1,1,0,1,2,-0.201030826,0.509160111,0
0,0,1,1,1.61245855,0,0,0,1,1,1,1,0,0,2,0,3,-0.649744903,0.37785,0
0,0,1,0,1.368012165,0,0,0,1,1,1,1,1,0,2,1,2,-0.272492698,0.664336767,0
0,0,1,1,1.327271101,1,1,0,0,1,1,1,1,1,2,1,2,0.644878304,1.341643719,0
1,0,0,0,-0.994969555,1,0,0.5,0,0,0,0,1,0,0,1,2,0.505278369,-0.731745808,0
1,0,0,0,-1.157933811,1,0,0.5,0,0,0,0,0,0,0,1,0,0.177883283,-0.888907666,1
1,0,1,0,1.571717486,1,1,1,0,0,0,0,0,0,2,0,2,-1.331125539,-0.196932275,0
0,0,1,1,-1.280157004,1,0,1,0,0,0,0,0,0,1,1,0,-1.482358802,-0.998380551,0
0,0,1,0,-1.157933811,1,0,0,0,0,0,1,0,0,0,0,1,-0.49020212,-0.928170558,1
1,0,0,0,-0.832005298,1,0,1,0,0,0,0,0,0,1,1,2,-1.510611169,-0.910524315,0
0,0,0,0,-0.343112528,0,0,0,1,0,0,0,1,1,1,1,1,-0.471921176,-0.438751988,0
1,0,1,1,-0.05792508,1,0,0,1,0,1,1,1,1,1,1,1,0.543502161,0.115781222,0
1,0,1,0,-1.280157004,1,0,0,0,0,0,0,1,0,0,0,1,-0.31902601,-0.982940088,1
0,0,0,0,-0.098666144,1,1,0.5,0,0,0,1,0,1,0,1,3,0.834335359,0.194042313,0
1,0,1,1,0.593931947,1,1,0,1,1,0,1,1,1,2,1,3,0.681440192,0.804646463,0
0,0,0,0,0.879119396,1,1,0.5,1,1,0,1,1,1,2,1,3,1.435944602,1.534053949,0
0,0,0,0,0.716155139,1,0,0.5,1,1,0,1,0,1,0,1,3,0.953992446,1.087096652,0
0,0,0,0,-1.280157004,1,0,0.5,1,0,0,0,0,1,0,1,1,0.658173536,-0.969970098,1
1,0,0,0,1.61245855,1,0,1,0,0,0,0,0,0,2,0,3,-1.480696898,-0.31604442,0
1,0,0,0,-0.139407208,1,1,1,0,0,0,0,0,0,0,0,0,-1.317830307,-0.697600326,0
0,0,0,0,-1.239415939,1,1,0,0,1,0,0,0,0,0,1,1,-0.345616473,-0.956955994,1
1,0,0,0,-0.913487426,0,0,0,0,0,0,1,0,0,2,1,1,-1.169920852,-0.875364174,0
0,0,1,0,-0.587558913,1,1,0.5,0,0,0,0,0,0,0,1,0,0.277597522,-0.431164103,0
1,1,0,0,-0.872746362,1,0,0.5,0,1,0,0,1,1,0,1,0,1.003849565,-0.513064732,1
0,0,0,0,-0.669041042,1,0,1,0,0,0,0,0,0,2,0,1,-1.497315937,-0.881849169,0
1,0,0,0,1.61245855,1,1,0,0,1,1,1,1,1,2,0,2,0.724649695,1.794269871,0
0,0,0,0,1.61245855,1,1,0.5,0,1,1,1,1,1,2,0,2,1.475830298,2.468268151,0
1,0,1,1,0.349485562,1,0,0,1,0,0,1,1,1,1,1,3,0.329116546,0.398959319,0
1,1,1,0,1.327271101,1,0,0.5,1,1,1,0,0,1,0,0,0,0.983906718,1.695296501,0
1,1,0,0,-0.791264234,1,0,0,0,1,1,0,0,0,0,1,0,-0.332321241,-0.684674452,0
0,1,0,0,-1.157933811,1,0,0.5,1,0,0,0,0,0,0,0,0,0.350721298,-0.886679828,0
0,0,0,0,0.349485562,1,1,0,0,0,1,0,0,1,1,0,1,0.006707172,0.109627095,0
0,1,0,0,-0.709782106,1,0,0.5,0,1,0,0,0,0,0,1,0,0.319145122,-0.533357912,1
0,0,0,0,-1.280157004,1,0,0,1,0,0,0,0,0,0,1,1,-0.54005924,-0.985873776,1
0,0,0,0,0.390226626,1,1,0.5,1,1,1,0,0,1,1,1,0,1.136801885,0.888995508,0
1,0,1,0,0.756896203,1,0,0.5,1,1,1,0,1,0,1,1,0,0.953992446,1.03065073,0
1,0,1,1,-1.239415939,1,0,0.5,0,0,0,0,0,0,0,0,0,0.186192803,-0.942375785,1
